,title,synopsis,category
0,NULL,NULL,action
1,전우치,   년 전 조선시대  전설의 피리  만파식적 이 요괴 손에 넘어가 세상이 시끄럽자  신선들은 당대 최고의 도인 천관대사 백윤식 와 화담 김윤석 에게 도움을 요청해 요괴를 봉인하고  만파식적 을 둘로 나눠 두 사람에게 각각 맡긴다  한편  천관대사의 망나니 제자 전우치 강동원 가 둔갑술로 임금을 속여 한바탕 소동을 일으키자  신선들은 화담과 함께 천관대사를 찾아간다  그러나 천관대사는 누군가에게 살해당하고 피리 반쪽이 사라졌다  범인으로 몰린 전우치는 자신의 개 초랭이 유해진 와 함께 그림족자에 봉인된다  요괴 잡는 도사도 어느덧 전설이 된     년 서울  어찌된 일인지 과거 봉인된 요괴들이 하나 둘 다시 나타나 세상을 어지럽 다  이제는 신부  중  점쟁이로 제각각 은둔생활을 즐기던 신선들은 다시 모여 화담을 찾지만     년 전 수행을 이유로 잠적한 그는 생사조차 알 수 없다  고심 끝에 신선들은 박물관 전시품이 된 그림족자를 찾아 전우치와 초랭이를 불러낸다  요괴들을 잡아 오면 봉인에서 완전  풀어주겠다는 제안에 마지 못해 요괴 사냥에 나선 전우치  그러나 전우치는 요괴사냥은 뒷전인 채 달라진 세상구경에 바쁘고  한 술 더 떠 과거 첫눈에 반한 여인과 똑같은 얼굴을 한 서인경 임수정 을 만나 사랑놀음까지 시작한다  전우치 때문에 골치를 앓는 신선들 앞에 때마침 화담이 나타나지만  화담은 만파식적의 행방을 두고 전우치와 대적하는데 ,action
2,65,우주 비행 중 행성과의 치명적인 충돌이 일어난 후  조종사  밀스  아담 드라이버 와 유일한 탑승 생존자  코아  아리나 그린블랫 는      만 년 전 공룡의 시대 지구에 불시착한다  모든 것이 위험과 죽음과 맞닿아 있는 상황  그들은 거대한 행성과의 충돌 전  반드시 지구를 탈출해야만 한다 ,action
3,배트맨 대 슈퍼맨: 저스티스의 시작(확장판),슈퍼맨과 조드 장군의 격렬한 전투 이후 메트로폴리스는 파괴되었고 슈퍼맨은 세계 최고 논쟁의 인물이 되어버린다  한편 배트맨은 그 동안 타락했던 많은 자들처럼 슈퍼맨 역시 언젠가 타락을 할 것이라 생각하며 사회에서 가장 위험한 존재로 여긴다  세계의 미래를 위해 무모하고 제어할 수 없는  을 가진 슈퍼맨으로 인해 벌어졌던 일들을 바로 잡으려 하는데 ,action
4,끝까지 간다,어머니의 장례식 날  급한 연락을 받고 경찰서로 향하던 형사  고건수  이선균   아내의 이혼 통보  갑작스런 내사 소식까지  스트레스 폭발 직전의 건수는 실수로 사람을 치는 사고를 일으키고 만다  되돌릴 수 없는 상황  어떻게든 모면해야 하는 건수는 누구도 찾을 수 없는 곳  바로 어머니의 관 속에 시체를 숨긴다   끝났다고 생각한 순간  놈이 나타났다  하지만 곧 경찰 내부에서 실종 및 뺑소니 사건에 대한 수사가 시작되고 범인이 다름아닌 자기 자신인 건수는 이를 은폐하기 위해 애쓴다  그러던 어느 날  사건의 모든 걸 알고 있다는 정체불명의 목격자  박창민  조진웅 이 등장하고  목적을 감춘 채 건수를 조여오는 창민의 협박 속 건수의 상황은 예측할 수 없는 위기로 치달아 가는데    절체절명 형사의 마지막 반격 되돌릴 수 없다면  끝까지 간다 ,action
5,2012,고대 마야 문명에서부터 끊임없이 회자되어 온 인류 멸망      년  저명한 과학자들은 오랜 연구 끝에 실제로 멸망의 시기가 다가오고 있음을 감지하고 각국 정부에 이 사실을 알린다  그리고 곧 고대인들의 예언대로 전세계 곳곳에서는 지진  화산 폭발  거대한 해일 등 각종 자연 재해들이 발생해 그 누구도 막을 수 없는 최후의 순간이 도래한다  한편  이혼 후 가족과 떨어져 살던 소설가 잭슨 커티스 존 쿠삭 는 인류 멸망에 대비해 진행되어 왔던 정부의 비밀 계획을 알아차리고 가족과 함께 살아남기 위한 필사의 사투를 벌이는데 ,action
6,NULL,NULL,action
7,콜롬비아나,부모의 죽음을 복수하기 위해 킬러가 된 여전사  올 가을  아름다운 복수가 시작된다  암흑조직에게 부모를 잃고 홀로 살아남은  살 소녀  카탈리아   그 날 이후  그녀는 킬러인 삼촌 밑에서 완벽한 복수를 준비해 간다  치명적인 매력과 스마트한 두뇌  그리고 프로페셔널한 실력을 갖춘 여전사로 성장한  카탈리아 는 부모의 죽음과 관계된 인물들을 하나씩 처단하고 암흑조직과      모두의 표적이 된다 시시각각 조여오는 숨막 는 추적 속에서여전사  카탈리아 가 목숨을 건 최후의 일전을 준비한다 ,action
8,레드슈즈,사건 사고가 끊이지 않는 동화의 섬  사라진 아빠를 찾던 화이트 왕국의 공주는 우연  마법구두를 신고 이전과 완벽하게 다른  레드슈즈 로 거듭난다  한편  초록색 난쟁이가 된 일곱 왕자들은 우연  자신들의 집에 머물게 된  레드슈즈 가 저주를 풀 유일한 희망이라 생각해 그녀를 돕기 시작하고  영원한 아름다움을 꿈꾸는 왕비  레지나 는 마법구두를 신고 성을 빠져나간  레드슈즈 를 쫓기 시작하는데   위기에 빠진 동화의 섬  레드슈즈  그리고 일곱 왕자들의 운명은 ,action
9,NULL,NULL,action
10,박물관이 살아있다!,엉뚱한 사업 아이템으로 하는 일 마다 늘 실패만 하는 래리 델리 벤 스틸러 분   그를 더 이상 견뎌내지 못한 부인이 곁을 떠나자 래리는 하나 밖에 없는 아들에게만큼은 떳떳한 아버지가 되기 위해 직장을 찾아 나선다  별 볼일 없는 그에게 온 유일한 기회는  모든 사람들이 기피하는 자연사 박물관 야간 경비원  아무것도 내보내지 말라 는 선배 경비원의 기이한 충고를 들은 근무 첫 날 밤  래리는 박물관의 전시물들이 살아 움직이는 놀라운 광경을 목격한다  박물관 전시품들은 매일 밤 제멋대로 움직이며 래리를 괴롭 다  마야인들  로마의 글래디에이터들  카우보이들이 살아나 그들끼리의 전쟁을 벌이기 시작하고  네안데르탈인은 자신의 디스플레이 케이스를 불태우고  가장 포악한 공룡 티라노사우루스는 래리를 못 잡아 먹어 안달이다  이런 대혼란 속에서 래리가 상담할 상대는 왁스 모형인 루즈벨트 대통령 로빈 윌리엄스 분 뿐  아들을 위해 어떤 역경 속에서도 박물관을 무사  보호해야만 하는 래리는 첫 날 선배들에게 들었던 충고가 잊혀지지 않는다  과연 이 박물관에는 무슨 비밀이 있는 것일까 ,action
