,title,synopsis,category
0,리오 2,야생을 한 번도 겪어보지 못한 도시형 앵무새  블루 는 자신과 정반대의 매력을 지닌  쥬엘 을 만나 개구쟁이 세 아이를 낳고 평화로운 생활을 이어간다  그러던 어느 날 아마존에서 자신들의 동족인 파란 마코 앵무새들이 발견됐다는 소식을 접하게 되고  아내  쥬엘 의 설득에 못 이겨 도심에서         떨어진 아마존으로 모험을 떠난다  야생 라이프에 완벽 적응한  쥬엘 과 세 아이들과는 달리 도시생활에 길들여진  블루 는 깃털 나고 처음으로 가 본 아마존 정글이 불편하기만 하다  설상가상  블루 에게 두 날개를 빼앗긴 악당 앵무새  나이젤 이 복수를 위해 드림팀을 꾸려  블루 의 뒤를 바짝 쫓고  어둠의 세력까지 가세해 아마존 정글과  블루  가족을 위협하고 나서는데  ,animation
1,프랑켄위니,세상에 둘도 없는 친구이자 가족인 강아지  스파키 를 사고로 잃은 천재 과학소년  빅터 프랑켄슈타인 은 우연  수업 시간에 전기 쇼크로 개구리를 되살리는 실험을 본 후   스파키 를 되살리기 위한 비밀 작전에 돌입한다  비바람이 몰아치던 날  무덤 속  스파키 는  빅터 의 간절한 소원대로 백만 볼트의 전기 충격을 받은 후 다시 숨 쉬기 시작한다  문제는 단 하나   스파키 가 더 이상 예전의 모습이 아닌 온 몸에 꿰맨 자국과 철심이 박  채 되살아났다는 것  사상초유의 부활견  스파키 의 존재를 알게 된  빅터 의 악동 친구들은 같은 방식으로 마을 곳곳에 잠들어 있던 친구들을 깨우기에 이르는데   ,animation
2,잠자는 숲속의 공주(패키지상품 : 더빙판 추가증정),오랜 기다림 끝에 스테판 왕과 왕비 사이에 오로라 공주가 태어난다  스테판 왕은 이 날을 축제일로 정하고 온 왕국은 기쁨에 들떠 있다  프로라  포나  메리웨더 요정은 아기에게 한가지씩 축복을 내려준다  프로라는 아름다움을  포나는 고운 목소리를 그리고 메리웨더가 영원  행복하라고 축복을 내리려는 순간 축제에 초대 받지 못한 데 앙심을 품은 악의 요정 멀레피센트가 나타나 오로라 공주가   세 생일날 물레 바늘에 손가락이 찔려 죽을 것이라는 저주를 내리고 사라진다  그러자 축복을 하지 못했던 메리웨더는 공주가 죽는 대신 깊은 잠에 빠지고 진정한 사랑의 키스만이 공주를 깨울 수 있다고 고쳐 말한다  왕은 공주에게 닥쳐올 재앙을 막고자 나라안의 모든 물레를 불태우라고 명령을 내리지만 요정들은 마녀의 눈을 피해 숲속에서 공주를 기르도록 왕비를 설득한다  공주는 요정들에 의해 숲속에서 무럭무럭 자라고 어느날 숲속 동물들과 달콤한 노래를 부르다 근처를 지나던 이웃나라의 필립 왕자와 첫 눈에 사랑에 빠진다  한편 요정들에 의해 자신의 신분을 알게 된 공주는 궁으로 돌아가게 되고 왕궁의 탑 속에 홀로 남은 공주를 찾아낸 멀레피센트의 계략에 의해 마침내   세 생일날 깊은 잠에 빠지게 되는데   과연 오로라 공주는 왕자님으로부터 진정한 사랑의 키스를 받고 깊은 잠에서 깨어날 수 있을까 ,animation
3,NULL,NULL,animation
4,슈퍼 키드 헤일리,안녕  내 이름은 헤일리   슈퍼 라이언 이야  아기 혼자 탄 유모차가 움직이고 있어요 악동 여우원숭이가 동물원을 탈출했어요 기차의 브레이크가 고장나서 멈추지 않아요 마을의 안전과 평화를 지키는 슈퍼  어로   슈퍼 라이언 의 정체는 바로 우리 가족이야  수백 년 전부터 할머니  아빠까지 대대로  슈퍼 라이언 이 되어 마을을 지키고 있지  이제는 내가 그 자리를 물려 받을 차례  그런데 사촌 아드리안이 탐내고 있다고  비록 난 운동신경도 꽝  초능력도 꽝이지만  내가 진짜  슈퍼 라이언 이라는 걸 증명해내겠어 ,animation
5,디지몬 어드벤처 트라이 제1장: 재회,디지털 월드로 통하는 게이트가 원인도 모른 채 닫혀 버린 지도 대략  년이란 시간이 흐르고  이른바  선택받은 아이들 도 훌쩍 커서 타이치가 고등학교  학년이 되었다   선택받은 아이들 도 각자의 바쁜 생활에 쫓기며 서로 만나는 일도 점점 줄어들고 있던 가운데  어느날 도심 한가운데 쿠와가몬이 나타나 날뛰기 시작한다  날뛰는 쿠와가몬을 막기위해 홀로 아수라장으로 뛰어든 타이치  그러나 아구몬 없이 혼자서는 역부족이라는 것을 깨닫고 위기에 빠지는 순간  아구몬이 나타나 타이치를 구해준다   을 합쳐 쿠와가몬을 막아내고 디지몬과 선택받은 아이들이 한자리에 모두 모이며 재회의 기쁨을 나누는 것도 잠시  의문의 단체가 그들에게 접근해 오는데   ,animation
6,극장판 나에게 천사가 내려왔다! 프레셔스 프렌즈,언제나 사이가 좋은 하나   나타  노아  코요리  카논은 오늘도 미야코가 만든 수제 과자 앞에 옹기종기 모여 앉아 과자 파티를 한다  과자 중에는 하나가 꽂은 머리핀과 똑같이 생긴 꽃모양 쿠키가 있었다  그 머리핀은 하나가 어렸을 때 외할머니에게 받은 소중한 보물로 아이들은 하나와 외할머니 이야기를 흥미진진하게 듣는다  그러다가 문득 수학여행 연습도 할 겸 하나네 외할머니 댁에 놀러 가기로 하는데   ,animation
7,엄마의 땅: 그리샤와 숲의 주인,눈과 얼음의 땅에서 순록과 함께 살아가는 소녀  그리샤 는 원인 모를 병에 걸린 엄마를 살리기 위해 전설로 전해오는 숲의 주인을 찾아 떠난다   북극성을 따라서 땅의 끝에 다다른  그리샤  앞에 나타난 붉은 곰은 그녀가 선택받은 존재임을 알려주는데   설원의 소녀  새로운 운명을 맞이하다 ,animation
8,엄마의 땅: 그리샤와 숲의 주인,눈과 얼음의 땅에서 순록과 함께 살아가는 소녀  그리샤 는 원인 모를 병에 걸린 엄마를 살리기 위해 전설로 전해오는 숲의 주인을 찾아 떠난다   북극성을 따라서 땅의 끝에 다다른  그리샤  앞에 나타난 붉은 곰은 그녀가 선택받은 존재임을 알려주는데   설원의 소녀  새로운 운명을 맞이하다 ,animation
9,도라에몽: 스탠바이미 2, 할머니를 만나고 싶어   어느 날 진구는 돌아가신 할머니와의 추억이 담긴 낡은 곰 인형을 발견하고 할머니가 보고 싶은 마음에 도라에몽의  차원 비밀도구 타임머신을 타고 과거로 향한다  느닷없이 찾아온 소년을 금세 진구라고 믿어주시는 할머니는 한 가지 소원을 말씀하시는데    진구의 아내를 만나보고 싶구나  결혼식을 보여 드리기 위해 미래로 간 도라에몽과 진구  하지만 이슬이와의 결혼식 당일 신랑 진구는 도망가 버리고 퉁퉁이와 비실이가 진구를 찾는 동안 이슬이는 진구를 믿고 기다리는데  할머니의 소원을 위해  그리고 가족과 친구들  좋아하는 이슬이와의 약속을 위해 도라에몽과 진구의 과거와 현재  미래를 넘나드는 스펙터클한 대모험이 시작된다 ,animation
