,title,synopsis,category
0,마이펫의 이중생활(패키지: 자막판+더빙판+부가영상),평화로운 나날을 보내던 주인바라기  맥스   어느 날  자신의 집에 입양견  듀크 가 굴러들어오고  맥스 는  듀크 와 원치 않는 동거를 시작하게 된다  간식  밥그릇  침대  주인의 사랑까지 빼앗긴  맥스 의 일상은 금이 가기 시작하고 급기야  듀크  때문에 뉴욕 한복판을 헤매는 사건이 벌어지는데     견생 최초   기다려 보다 더 큰 위기가 찾아왔다 ,comedy
1,어네스트와 셀레스틴,가난하지만 멋진 목소리  수준급 바이올린 연주가 자랑인 거리의 음악가  어네스트  곰 는 오늘도 거리에 나와 연주하지만 매번 외면을 당한다  한편  지하세계에 사는 꼬마  셀레스틴  생쥐 은 치과의사가 되라는 주변의 압박에 곰의 이빨을 구하러 지상의 세계로 나온다  절체절명의 순간  어네스트는 위기에 처한 셀레스틴을 도와주게 되고  세상에 둘도 없는 절친이 된다  하지만 서로 다른 세계에 산다는 이유로 곰과 쥐의 우정을 방해하는 세상의 편견에 결국 쫓기는 신세가 되는데 ,comedy
2,로마의 휴일,왕실의 딱딱한 제약과 정해진 스케줄에 피곤해 지고 싫증난 앤 공주               오드리 헵번 분 는 거리로 뛰쳐나가 잠들었다가 어느 신사              그레고리 펙 분 를 만난다  그와 함께 아이스크림도 맛나게 먹고 신나게 스코터를 타고 다니면서 서민의 즐거운 생활을 맛 본 앤 공주는 신사와의 고별식이 다가오자 무척이나 아쉬워한다  한편 거리에서 벤취에 잠든 여인을 만난 그 신사는 특종을 찾는 신문기자였다  그저 불쌍한 여인인 줄 알았던 아가씨가 앤 공주임을 알아챈 기자는 굴러들어온 특종감을 만났으니 신나기 그지없었다  아무 것도 모르는 앤 공주는 신사가 이끄는 대로 로마 거리를 즐겁게 따라다니면서 헤프닝을 벌여서 그야말로 특종 사진감이 되어준다  친절하고 온건한 신사 죠에게 어느새 정이 든 앤 공주  그리고 자신의 특종을 위해서 열심  뛴 죠 기자도 이렇게 너무나 순순한 앤 공주에게 이끌리는 마음은 어쩔 수가 없었다  그래서 특종을 목표로 찍었던 사진을 앤 공주를 위해 보도를 않기로 하고 기자회견 석상에서 아무렇지도 않게 건네준다 ,comedy
3,도그,이라크 파병으로 후유증으로 부대복귀가 불가능한 특수부대 출신 미군  잭슨   어느 날  그의 동료의 사망소식을 듣고  그의 군견  룰루  를       나 떨어진 그의 장례식장에 데려가면 복직을 추천해주겠다는 상관의 제안을 받는다  잭슨은 이를 수락하지만  룰루 또한 이미 전투후유증으로 사나운 사고뭉치가 되어있었다  잭슨과 룰루는 서로에 대한 마음도 열지 못한 채 둘 만의 여정을 떠나게 되는데   둘은 다사다난하고 다이내믹한 여정을 무사  마칠 수 있을까 ,comedy
4,마다가스카,사자 알렉스 벤 스틸러 는 스포트라이트를 한 몸에 받는 뉴욕 센트럴파크 동물원 최고의 인기 스타  타고난 품종은 정글의 왕이지만 사실 알렉스는 동물원 인기 스타인 자신을 자랑스러워하고 정글 구경은 한 번도 해 본 적 없는 정통 뉴욕 토박이다  알렉스의 친구들인 얼룩말 마티 크리스 록 와 기린 멜먼 데이비드 쉬머   하마 글로리아 제이다 핀켓 스미스 도 온실 속 화초처럼 동물원의 안락한 생활이 익숙하기만 하다  그러던 어느 날  호기심 많은 마티가 그들의 고향 남극으로 탈출기회만을 노리는 정체불명 펭귄 특공대의 꾐에 빠져 야생에 대한 동경을 안고 외출을 시도한다  알렉스와 친구들은 사라진 마티를 찾기 위해 동물원 밖으로 나가게 되고  사람들에게 발견된 동물  인방 사실은 뉴요커  인방 은 갑갑한 동물원 탈출을 모의했다는 오해 아닌 오해를 받은 채 아프리카로 향하는 배에 오르게 된다  뉴요커  인방이 포획된 배를 남극을 향한 배로 오인한 펭귄 특공대는 재빠르게 선박을 접수하고 항로를 바꾸는 사이   인방이 갇혀 있던 상자가 바다로 떨어지면서 알렉스와 친구들은 미지의 정글 마다가스카에 표류하게 된다  지금까지 안락한 뉴요커의 삶을 살아온 이들이 과연 거친 야생의 정글 마다가스카에서 살아갈 수 있을 것인가  아니면 다시 센트럴파크의 동물원으로 돌아갈 것인가 ,comedy
5,라이드 온,한때 잘 나갔던 전설의 스턴트맨  루오  성룡   유일한 파트너마  레드 헤어 가 경매에 부쳐질 위기에 처하자 어쩔 수 없이 소원했던 딸  바오  류호존 에게 연락해 도움을 청한다   바오 는 자신의 변호사 남자친구  미키  곽기린 와 이를 해결하고자 하고  조금씩  루오 에게도 마음을 열어간다  그러던 어느 날   루오 가  레드 헤어 를 지키기 위해 싸웠던 콤비 액션 영상이    를 통해 화제를 모으게 되고  유명 영화에 참여할 기회까지 찾아오는데   스턴트 생활을 청산하길 바라는 딸  바오 와 인생 역전의 기회에서 고민하는  루오   과연  그는 가족과 커리어를 모두 지킬 수 있을 것인가  ,comedy
6,금지옥엽,보통 가정의 평범한 여자 임자영 원영의 분 은 홍콩의 최고 여가수인 로즈 유가령 분 와 그의 매니저인 샘 고가명  장국영 분 을 우상으로 삼고 마음 속으로 열렬한 사랑을 쏟아부으며 살아간다  어느 날 로즈가 속해 있는 제작사에서 남자 신인 가수를 뽑는다는 포스터를 본 자영은 오직 로즈와 샘을 한 번 보러갈 욕심에 남자로 변장을 하고 신인가수 선발대회에 참가한다  로즈의 매니저인 샘은 로즈와의 변칙적인 생활에 회의를 느끼고 뭔가 새로운 돌파구를 찾기 위해 남자 신인을 선발하려고 한다  만명에 가까운 신인가수 지망생 중에서 특별한 인물을 찾지 못한 샘은 포기를 하려던 중  로즈의 훼방으로 마지막 번호의 참가자인 자영을 신인 가수로 선발하게 된다  우연한 기회에 그토록 그리던 자신의 우상들과 함께 생활하게 된 자영은 남자로 분장한 자신을 숨겨가며 새로운 생활을 시작한다  거주지를 아예 샘의 집으로 옮긴 자영은 가수가 되기위한 피나는 연습에 돌입하게 되고  샘은 어딘가 여자인듯한 자영으로부터 알 수 없는 정을 느끼게 되어 자신이 게이가 아닐까하는 착각에 빠져들게 된다  바람기 많은 로즈는 또 자영이 남자라고 믿고 자영을 유혹하려 들지만 자영의 결사적인 거부에 무산된다  자신이 게이일거라는 착각 속에서 갈등하는 샘앞에서 로즈는 날이 갈 수록 방탕한 생활에 빠지고 신선한 모습으로 다가오는 자영은 샘에게 진정한 사랑으로 찾아든다  어느 날 많은 갈등 속에서 자영과 함께한 어느날 밤 두 사람은 진한 키스를 주고 받게 되고 이에 놀란 샘은 집을 뛰쳐나가 어디론가 사라진다  이런 사실을 알게 된 로즈에게 자영은 모든 것을 고백하고 눈물을 머금은 채 집으로 되돌아온다  방황을 거듭하던 샘과 연말 가수왕 시상식에서 수상을 하는 로즈가 전격 결별 선언을 하자  이에 용기를 얻은 자영은 원래의 여성으로 돌아가 다시 샘 앞에 나타나게된다 ,comedy
7,NULL,NULL,comedy
8,몬스터 호텔,몬스터들의 유일한 천국  인간출입금지 몬스터 호텔  딸바보 드라큐라는 딸 마비스의    번째 생일을 맞아 프랑켄슈타인  늑대인간  미이라  투명인간 등 몬스터 친구들을 모두 초대한다  그 런 데  초대받지 않은 인간소년 조니가 나타나고  몬스터들은 멘붕 상태에 빠진다  과연  몬스터들은 신나는 파티를 즐길 수 있을까 ,comedy
9,돈 텔 파파,양아치 흉내를 내는 어리버리한 고삐리 철수  담배불 입으로 끄기가 주특기인 애란과 우여곡절 끝에  딱 하룻밤 을 보내게 된다  그날 이후 애란에게는 소식이 없었고  년 가까이 흐른 어느 날 그의 교실에 바구니하나가 퀵으로 배달된다  바구니에 들어있던 것은 갓난 아기  그날밤 애란이 철수의 아기를 가졌고 여고 화장실에서 출산한 것  철수는 애란의 친구 순미를 찾아가 애란의 소재를 물어보지만  미국으로 유학갔다는 소식을 듣고 돌아선다   아기바구니 배달사건 으로 학교에서 쫓겨난 철수는 성인나이트클럽에서 쇼  를 하며 아들 초원이를 키운다  심봉사 젖동냥하듯 동료들에게 아기를 맡기는 철수  철수는 아기 이름을 애란과 첫날밤을 지낸 여관 이름을 따서  초원 이라 짓는다  초원은 아빠를 따라 업소를 드나들며  오까마 쇼의 보리수  에레나 김  나가요걸 등과 교류하여 조숙하고 명랑한 아이로 성장한다  삼류인생들의 실전언어를 피부로 익 며 동년배 어린이들은 도달할 수 없는 천부적인 어휘력을 지니게 되었으며  때때로 일부 어른들도 하지 못하는  화투운 을 떼며 미래를 예견하기도 한다  어느새  살이 된 철수  그러나 미국으로 유학간 애란이 철수의 동창이자 속옷디자이너 절구의 직속상관이 되어 돌아온다  아기를 버린 죄책감에 시달리던 애란은 초원을 보고 싶어하고 자신이 엄마임을 알리지 않은 채 아이의 곁을 멤돈다  엄마가 죽은 줄 알고 있는 초원은 애란을 좋은 아줌마라 생각하며 따르고 철수는 아이를 빼앗길까 불안해진다  급기야 지방의 클럽으로 초원과 함께 떠나려는 철수  그러나 사소한 일로 엄청난 사건에 말려들고   ,comedy
