,title,synopsis,category
0,바람 따라 만나리 : 김호중의 계절, 개월간 전국  개 도시에서   만 아리스와 함께했던 김호중의 첫 전국 투어 콘서트  아리스트라  제대 후 일년간 쉬지 않고 달려온 김호중이 지친 몸과 마음을 달래기 위해 떠난 여행 대규모 오케스트라와 김호중의 천상의 목소리  그리고 아리스의 환호가 공연장을 가득 채웠던 감동적인 콘서트 장면과 고군산도의 눈부신 풍경을 따라 여행하는 김호중의 행복한 순간이 스크린  파노라마 뷰로 펼쳐진다 ,documentary
1,부활,이태석 신부가 아프리카 톤즈에 뿌린 사랑의 씨앗이 꽃으로 피어나는 이야기  울지마톤즈  후속영화   부활   아프리카 수단에서 헌신하다 마흔 여덟의 젊은 나이에 세상을 떠난 이태석 신부  십년 후 그분의 사랑으로 자란 제자들을 찾아 나섰다   의사 약사 공무원 의대에 다니는 제자만   여명  놀라운 것은 모두가 이태석 신부의 삶을 살아가고 있다  주민들은 이 신부가 돌아왔다며 기뻐한다   십만 킬로미터 대장정  일 년 간의 추적 인간이 인간에게 꽃이 되어 주는 감동을 공개한다 ,documentary
2,마리안느와 마가렛,    년   월   일  소록도의 집집마다 편지 한 통이 도착한다  두 간호사가 보낸 마지막 편지였다    나이가 들어 제대로 일할 수 없고 헤어지는 아픔을 남길까   꽃다운   대에 아무 연고도 없이 섬을 찾아왔던 이들은 그렇게 떠났다   소록도에서 한센병 환자들을   년간 보살펴온 푸른 눈의 두 천사  마리안느와 마가렛   들꽃 같은 이들의 아픔을 치유로 바꾼   년의 사랑을 되새긴다 ,documentary
3,기억의 전쟁,화려한 휴양도시 베트남 다낭에서   분이면 닿는 마을  매년 음력  월이면 마을 곳곳에 향이 피워진다      년  한날 한시에 죽은 마을 주민들을 위해 살아남은 이들은 위령비를 세우고   여 년간 제사를 지내왔다    내가 똑똑  봤어  한국군이었어   그날의 사건으로 가족들을 모두 잃은 탄 아주머니  그날의 현장을 똑똑  목격한 껌 아저씨  그날 이후 전쟁의 흔적으로 두 눈을 잃은 럽 아저씨는 지금껏 숨겨온 기억을 꺼낸다 ,documentary
4,두 개의 문,    년  월   일  철거민  명  경찰 특공대원  명 사망  생존권을 호소하며 망루에 올랐던 이들은 불과   시간 만에 싸늘한 시신이 되어 내려 왔고  살아남은 이들은 범법자가 되었다  철거민의 불법폭력시위가 참사의 원인이라는 검찰의 발표  공권력의 과잉진압이 참혹한 사건을 만들었다는 비판의 목소리가 부딪 는 가운데  진실공방의 긴 싸움은 법정으로 이어진다   유가족 동의 없는 시신 부검   사라진      쪽의 수사기록   삭제된 채증 영상   어떠한 정보도 하달 받지 못했다는 경찰의 증언   과연  그 날의  진실 은 무엇이었을까 ,documentary
5,NULL,NULL,documentary
6,울지마 톤즈 2 : 슈크란 바바,가난과 전쟁으로 아무런 희망조차 없었던 수단 톤즈에서 사제이자 의사  교육자  음악가  그리고 건축가로서 이태석 신부가 이룬 기적들과 그 이면의 숨은 이야기들이 공개된다   톤즈에서 행복의 답을 찾은 그의 모습은 보는 이를 설레게 하고  진실하게 자신을 다 바쳐 사랑을 전하는 모습은 보는 이를 뜨거운 감동으로 적신다  아직도 이 땅에 남아 있는 그의 따스한 발자취와 그를 기억하는 사람들이 말하는 진짜 이태석을 만나다 ,documentary
7,순종,우간다 내전으로 상처받은 사람들이 모여 사는 딩기디 마을  반군에게 부모가 잔인하게 살해당하는 모습을 목격했던 아이들은 트라우마로 심한 발작을 일으키는데   이들을 사랑으로 보살피는 김은혜 선교사  하지만 김 선교사는 살아생전 가족들을 가난의 굴레에 던져놓은 채  딩기디 마을 사람들을 보살폈던 아버지에 대한 원망을 지우지 못한다   한편  중동 테러단체   의 주민학살 등 온갖 만행에 견디다 못해 레바논으로 탈출한 알리는 세상과의 문을 닫고 헤어진 엄마를 그리워하며  겨운 하루하루를 지샌다  상처받은 난민친구들과 함께 모여 살던 알리는 한국의 김영화 선교사를 만나고  변화를 겪기 시작하는데     과연 이들의 상처는 치유될 것인가 ,documentary
8,NULL,NULL,documentary
9,집의 시간들,서울 끝자락의 둔촌주공아파트  이곳에서 길거나 짧은 시간을 보낸 주민들이 서로 다른 형태의 애정에 대해 이야기한다  오랫동안 미뤄진 재건축이 현실로 다가오기 전  평소와 같은 아파트 단지와 집 안의 풍경이 조용  지나간다 ,documentary
10,NULL,NULL,documentary
