,title,synopsis,category
0,NULL,NULL,documentary
1,홈런: 야구소년,각자의 사연을 안고 전국에서 모인   대 불량 청소년들    대 감독  할배쌤 과 코치들의 지도 아래 포니 야구 월드시리즈에 도전을 준비한다  철거 예정인 훈련장부터 추운 날씨까지  환경조차 도와주지 않는 상황에서 매일 싸우고 부딪 는 말썽꾸러기 아이들까지  이들은  든 과거를 극복하고 평범한 아이들처럼 자신의  홈 을 갖게 될 수 있을까 ,documentary
2,그리고 방행자,어린 시절 취미로 모은 장난감을 시작으로 장난감 박물관 사업을 시작한 한국 최고의 장난감 수집가이자  토이키노  장난감 박물관 주인  원경    삼청동부터 인사동  수많은 장소를 거쳐오며 많은 사람들에게 추억을 선물했던  토이키노 는 언론사의 횡포로 한순간 무너지고  원경 의 고통을 지켜볼 수 없었던 어머니  방행자 가 추운 거리로 나섰다   엄마이자  예술가이자  한 여성이었던 장난감 집 할머니  방행자    원경 은 그녀가 손자에게 마지막으로 남기고 간 특별한 기록을 발견한다   잊을 수 없는 기억을 남기고 떠난  내가 사랑한  할머니  그녀가 남긴 따뜻한 사랑과 뜨거운 기록이 시작된다 ,documentary
3,NULL,NULL,documentary
4,요요현상,취미도 요요  특기도 요요  요요로 한국을 주름잡던 다섯 명의  요요소년  대열  동훈  현웅  동건  종기  요요를 잘하면 자랑이 되었던 어린 시절을 지나   대 후반이 된 그들에게 세상은  살길을 찾는   어른 이 되길 요구한다       년 여름  다섯 사람은 대학 졸업을 앞두고 마지막으로 자신들이 꿈꿔온 무대에 도전하고 요요를 그만두기로 결심하는데   요요길만 걷고 싶은 요요덕후들의 꿈과 현실에 대한 이야기  요요  마음 편  그만둘 수 있을까   어디로 향하든 다시 돌아오게 돼 있어  꿈과 현실의 무한루프  요요현상 ,documentary
5,영원한 거주자,터키와 아르메니아의 철책 국경이 흑백영상으로 펼쳐지면서     년 터키가 자행한 아르메니아 대학살에서 생존한 할머니 아락시의 노래가 도입부 영상을 장식한다  이윽고 등장하는 마리아  그녀는     년 아르메니아 남서쪽 접경마을 하칙에서 태어났다      년 아제르바이젠과 전쟁이 일어났을때  그녀의 고향은 전쟁터가 되었었다  하여 그녀는 국경을 지키기 위하여 떠난 아버지가 돌아오지 않을까 늘 불안해했던 어린 시절을 떠올린다      년이후 이 지역에서는 냉전이 지속되고 있다  언제 다시 전쟁이 시작될 지 모르는 상황이다  마리아는 고향에 대하여 남다른 애착을 가지고 있다  전쟁에 노출된 고향에서 살고 있지만 단 한번도 다른 곳에서 태어나서 살고 싶다는 생각을 품은 적이 없다  마리아는 타 지역 접경 마을 사람들이 어떻게 살아가는지 알고 싶다  그녀는 먼저 아르메니아 북동쪽 국경 마을 베르카베를 찾아간다  이 마을은 적국 아제르바이젠 국경과는 불과 몇 백 미터에 위치해있고  호수가 국경으로 존재하는 곳이다  마리아는 총격의 위협에도 아랑곳없이 호수에서 낚시를 하는 주민과 동갑내기 젊은이들을 만난다  총격이 잦은 이 지역에서 살아가는 그들의 두려움과 용기가 동시에 드러난다  두 번째 마을은 치나리이다  아제르바이젠 스나이퍼가 쏜 총이 머리를 관통하여 그 휴우증으로 살아가는 세바다의 분노가 생생하게 그려진다  아르메니아와 아제르바이젠을 나누는 국경은 철책이 없는  보이지 않는 국경이다  양 국가의 검문소가 대치하고 수시로 총을 쏘면서 견제하고 있다  선량한 주민이 납치되어 고문을 받고 숨지는 사건이 일어나는등 마치 한국 전쟁 직후의 분단 상황을 떠올리는 이러한 냉전 상태는 주민들의 일상을 위협하지만  그들은 결코 두려워하지 않는다  영화는 아르메니아 접경지역의 뛰어난 자연 풍경을 포착하면서  역설적으로 그러한 풍경이 곧 이 나라가 지정학적으로 고립되어 있음을 묘사한다  또한     년 대학살이라는 역사적인 비극을 겪은 아르메니아 민족은 아직도 그 트라우마에서 자유롭지 않다  학살의 근본적인 원인은 비단 영토 분쟁뿐만 아니라 종교와 인종을 나누는 또 다른  경계 의 분쟁이라는 것을 영화는 암시하고 있다 ,documentary
6,NULL,NULL,documentary
7,백두 번째 구름,임권택 감독은    번째 영화  달빛 길어올리기 를 찍은 후  몇 편의 영화를 준비했지만 모두 떠나 보내며 다섯 해를 기다렸다      년 첫날  임권택 감독은 김훈의 소설을 각색한    번째 영화  화장 의 촬영을 드디어 시작한다  이 영화는 그 촬영의 현장에 처음부터 끝까지 머물면서 대가의 연출 비밀을 지켜본다   백두 번째 구름 은 영화 촬영이 시작되기까지의 기다림을 다룬  녹차의 중력 과 짝을 이룬다 ,documentary
8,삽질,세계 어디에도 유례없는  삽질  사업 대국민 뒤통수 프로젝트  대운하를  대강 살리기로 둔갑시켜 대한민국을 속인 희대의 사기극  정부가 기획하고 언론이 참여하고 건설 업체가 판 벌린 총 판돈   조     억 원의 도박판  금강  영산강  한강  낙동강에 나타난 녹조라떼    만 물고기 떼죽음  괴생물체     대강 사업으로 돈 잔치가 펼쳐지는 동안 강은 죽어가고 있었다 ,documentary
9,앨리스 죽이기,재미동포 신은미 씨는 우연한 기회에 북한을 여행하고  그곳에서 느낀 감동과 충격을 담은 사사로운 북한 여행기를 쓴다  그 여행기는 출간되어 남한에서 크게 주목받고  북 콘서트까지 열린다  하지만  대동강 맥주가 맛있었다 는 그녀의 말 한마디가  북한 고무찬양 으로 매도되어 점점 더 빨갛게 덧씌워지는데   말 한마디로 대한민국을 발칵 뒤집은     년 희대의 레드 스캔들을 만난다 ,documentary
