,title,text,category
0,NULL,NULL,drama
1,너의 이름은.,꿈 속에서 몸이 뒤바뀐 도시 소년  타키 와 시골 소녀  미츠하   만난 적 없는 두 사람이 만들어가는 기적과 사랑에 관한 이야기  너의 이름은    잊고 싶지 않은 사람 잊으면 안 되는 사람 너의 이름은 ,drama
2,NULL,NULL,drama
3,영웅,어머니  조마리아  나문희 와 가족들을 남겨둔 채 고향을 떠나온 대한제국 의병대장  안중근  정성화    동지들과 함께 네 번째 손가락을 자르는 단지동맹으로 조국 독립의 결의를 다진 안중근은 조선 침략의 원흉인  이토  로부미 를  년 내에 처단하지 못하면 자결하기로 피로 맹세한다   그 약속을 지키기 위해 블라디보스토크를 찾은 안중근  오랜 동지  우덕순  조재윤   명사수  조도선  배정남   독립군 막내  유동하  이현우   독립군을 보살피는 동지  마진주  박진주 와 함께 거사를 준비한다   한편 자신의 정체를 감춘 채 이토  로부미에게 접근해 적진 한복판에서 목숨을 걸고 정보를 수집하던 독립군의 정보원  설희  김고은 는 이토  로부미가 곧 러시아와의 회담을 위해 하얼빈을 찾는다는 일급 기밀을 다급  전한다   드디어     년   월   일  이날만을 기다리던 안중근은 하얼빈역에 도착한 이토  로부미를 향해 주저 없이 방아쇠를 당긴다  현장에서 체포된 그는 전쟁 포로가 아닌 살인의 죄목으로  조선이 아닌 일본 법정에 서게 되는데   누가 죄인인가  누가 영웅인가 ,drama
4,NULL,NULL,drama
5,NULL,NULL,drama
6,NULL,NULL,drama
7,NULL,NULL,drama
8,NULL,NULL,drama
9,비공식작전, 비공식적으로  알아서 해라  여기는 하루하루가 지뢰밭이에요      년   년째 중동과를 벗어나지 못하고 있는 외교관  민준  하정우   어느 날 수화기 너머로   개월 전 레바논에서 실종된 외교관의 암호 메시지가 들려온다  성공하면 미국 발령이라는 희망찬 포부에 가득 찬 그는 비공식적으로 동료를 구출하는 임무에 자원해 레바논으로 향한다  공항 도착 직후  몸값을 노리는 공항 경비대의 총알 세례를 피해 우연  한국인 택시기사  판수  주지훈 의 차를 타게 된  민준   갱단까지 돈을 노리고 그를 쫓는 지뢰밭 같은 상황 속  기댈 곳은 유일한 한국인인  판수  뿐이다  그런데 돈만 주면 뭐든 하는 수상쩍은 이 인간  과연 함께 동료를 구할 수 있을까 ,drama
10,NULL,NULL,drama
11,NULL,NULL,drama
12,NULL,NULL,drama
13,바비(부가영상 제공),원하는 무엇이든 될 수 있는  바비랜드 에서 살아가던  바비 가 현실 세계와 이어진 포털의 균열을 발견하게 되고  이를 해결하기 위해  켄 과 예기치 못한 여정을 떠나면서 펼쳐지는 이야기,drama
14,NULL,NULL,drama
15,NULL,NULL,drama
16,리바운드,농구선수 출신 공익근무요원  양현 은 해체 위기에 놓인 부산중앙고 농구부의 신임 코치로 발탁된다  하지만 전국대회에서의 첫 경기 상대는 고교농구 최강자 용산고  팀워크가 무너진 중앙고는 몰수패라는 치욕의 결과를 낳고 학교는 농구부 해체까지 논의하지만   양현 은    까지 올랐던 고교 시절을 떠올리며 다시 선수들을 모은다  주목받던 천재 선수였지만 슬럼프에 빠진 가드  기범  부상으로 꿈을 접은 올라운더 스몰 포워드  규혁  점프력만 좋은 축구선수 출신의 괴력 센터  순규  길거리 농구만 해온 파워 포워드  강호  농구 경력  년 차지만 만년 벤치 식스맨  재윤  농구 열정만 만렙인 자칭 마이클 조던  진욱 까지 아무도 주목하지 않은 최약체 팀이었지만 신임 코치와  명의 선수가     년 전국 고교농구대회에서 써 내려간  일간의 기적 모두가 불가능이라 말할 때  우리는  리바운드 라는 또 다른 기회를 잡는다 ,drama
17,NULL,NULL,drama
18,콘크리트 유토피아, 아파트는 주민의 것  온 세상을 집어삼킨 대지진  그리고 하루아침에 폐허가 된 서울  모든 것이 무너졌지만 오직 황궁 아파트만은 그대로다  소문을 들은 외부 생존자들이 황궁 아파트로 몰려들자 위협을 느끼기 시작하는 입주민들  생존을 위해 하나가 된 그들은 새로운 주민 대표  영탁 을 중심으로 외부인의 출입을 철저  막아선 채 아파트 주민만을 위한 새로운 규칙을 만든다  덕분에 지옥 같은 바깥 세상과 달리 주민들에겐 더 없이 안전하고 평화로운 유토피아 황궁 아파트  하지만 끝이 없는 생존의 위기 속 그들 사이에서도 예상치 못한 갈등이 시작되는데     살아남은 자들의 생존 규칙 따르거나 떠나거나,drama
19,NULL,NULL,drama
20,NULL,NULL,drama
21,경주,        대구 친한 형의 장례식 참석을 위해 한국을 찾은 북경대 교수 최현 박해일  문득  년 전 보았던 춘화의 기억을 더듬어 충동적으로 경주로 향한다           경주 찻집 아리솔   년 전 여기 있던 춘화 못 봤어요   베일에 싸인 미모의 찻집 주인 공윤희 신민아 는 대뜸 춘화의 행방부터 묻는 수상한 남자 최현을 변태   로 오인한다          신경주역 과거의 애인 여정 윤진서 을 경주로 부른 최현은 오랜만의 만남에 설레 하지만 누군가에게 쫓기듯 내내 불안해하던 여정은 곧 서울로 돌아가 버린다          보문호수 여정이 서울로 떠난 뒤  생각에 잠겨 홀로 보문호수를 산책하던 최현은 무언가에 이끌리듯 다시 찻집 아리솔로 발걸음을 옮긴다          계모임 수상한 첫인상과는 달리 의외로 순수한 최현의 모습에 호기심을 느낀 윤희는 그를 절친한 친구 다연 신소율   형사 영민 김태훈   플로리스트 강선생 류승완   박교수 백현진 와 함께하는 자신의 경주 계모임에 초대한다           고분능 계모임 술자리를 파하고  함께 밤거리를 걷던 최현과 윤희 그리고 윤희를 짝사랑하는 영민은 술김에 고분능 위로 몰래 올라가 경주 시내의 아름다운 밤 풍경을 감상한다          윤희의 집 경주의 밤이 깊도록 함께 시간을 보낸 윤희와 최현 윤희는 머물 곳 없는 최현을 자신의 집으로 초대하고 단둘만 남은 공간에서 두 사람 사이에 미묘한 기류가 흐르기 시작하는데   가슴 설레는 로맨틱 시간여행이 시작된다 ,drama
22,NULL,NULL,drama
23,NULL,NULL,drama
24,NULL,NULL,drama
