,title,synopsis,category
0,당신얼굴 앞에서,그녀는 고층 아파트에 있어 본 적이 없다  여동생은 어떻게 이런 높은 곳에 살면서 괜찮은 걸까  란 의문이 든다  며칠 전부터 동생 집에 불쑥 들어와 살면서 한국에 다시 사는 걸 경험하고 있다  숨기는 비밀이 있는 것 같지만  그래도 하루하루에 집중하며 살게 하는 맘 챙김을 잘하고 있다  한 그녀보다 나이 어린 영화감독이 그녀를 영화에 쓰고 싶다고 연락이 왔고  한두 번의 사양을 거쳐 오늘 그 감독을 만나러 간다  서울 도심 어느 골목에 있는 작고 오래된 술집에서 낮술을 마시는데 비가 내리고 천둥이 친다 ,drama
1,서치(부가영상 제공),목요일 저녁  딸 마고에게 걸려온 부재중전화  통 아빠 데이빗은 그 후 연락이 닿지 않는 딸이 실종됐음을 알게된다   경찰의 조사는 본격적으로 시작되지만 결정적인 단서들이 나오지 않는 가운데  실종된 날 밤 마고가 향하던 곳이 밝혀지며 새로운 사실들이 발견된다   사건의 실마리를 찾은 곳은 다름 아닌 딸 마고의 노트북 구글  유튜브  페이스북 등    에서 상상조차하지 못한 딸의 진실이 펼쳐지는데   현실에서는 찾을 수 없는 딸의 흔적을 검색하다 ,drama
2,NULL,NULL,drama
3,시애틀의 잠 못 이루는 밤,행복한 가정을 꾸리던 샘              톰 행크스 분 에게 비극이 닥친다  아내                 캐리 로웰 분 가 암으로 죽은 것이다  크리스마스 이브  신문 기자 애니             맥 라이언 분 는 이상적인 남자 월터         빌 풀만 분 와 약혼했음을 가족들에게 발표한다  애니는 차를 몰고 가다 라디오를 듣는데  샘이 죽은 아내에 대한 사랑을 회상하는 내용이 흘러나온다  샘의 아들 조나                로스 맬링거 분 가 아내를 잃고 실의에 빠진 아버지를 보다 못해 라디오 방송에 전화를 하게 된 것이었다  애니는 샘이 자신의 운명적인 짝이 아닐까 궁금해 한다  운명의 남자가 따로 있을지도 모른다는 생각에 월터에 대한 마음은 조금씩 식어간다  애니는 샘이 자기 짝인지 확인하기 위해 월터를 속이고 멀리 시애틀까지 날아가 이들 부자의 다정스런 모습에 흐뭇해 하지만  다른 여자를 만나는 실망스러운 장면을 목격하고 오해와 함께 집으로 돌아온다  운명적인 만남이란 건 없다는 결론을 내린 애니는 다시 월터에게 마음을 돌리려 하지만 그건 불가능하다는 걸 확인하게 되고 월터에게 작별을 고한다  그리고 그 순간  엠파이어스테이츠 빌딩에서 드디어 이들 부자와 운명적인 만남을 갖게 되는데 ,drama
4,NULL,NULL,drama
5,NULL,NULL,drama
6,5일의 마중,문화대혁명의 시기  가슴 아픈 이별을 겪은 펑완위 공리 와 루옌스 진도명   가까스로 풀려난 루는  일에 집에 간다는 편지를 보낸 후 돌아왔지만 아내는 남편을 알아보지 못하고 딸은 아빠에 대한 원망으로 가득 차 있다  그런 가족의 곁을 묵묵  지키는 루  그리고 오늘도 펑은 달력에 동그라미를 친다    일에 루 마중 나갈 것   과연 그들의 사랑은 다시 시작될 수 있을까 ,drama
7,NULL,NULL,drama
8,첨밀밀,    년 상해  홍콩행 열차 속에서 소군 여명 분 과 이요 장만옥 분 의 운명적 만남은 시작된다  그러나 그들의 유일한 공통점은 대만 최고의 가수 등려군을 좋아한다는 것과 자신의 꿈을 위해 홍콩으로 향하고 있다는 것 뿐이다  낯선 홍콩의 거리에 떨어진 두사람은 길잃은 유성처럼 서로 의지하고 그리고 사랑으로 빠진다  그러나 소군에게는 홍콩에서 돈을 벌면 결혼하기로 한 소정이라는 약혼녀가 있었고  이요에게는 돈을 벌어 호화로운 생활을 누리겠다는 야심한 꿈이 있었다  이요는 지금까지 모은 돈으로 장사를 시작하지만 실패하고  빚을 지게 된다  소군은 이런 이요에게  이 되어 주고 싶지만  이요는 소군의 마음이 부담스럽기만 하다  그런 이요에게 돈많은 암흑가 보스 표형이 나타나고  조건없이 다가오는 소군의 천진한 사랑과 불안한 미래 속에 갈등하던 이요는 소군의 곁을 떠나고 만다      년  표의 애인이 된 이요는 소군의 결혼식에 참석하여 소군과  년만에 재회하게 된다  하지만 이미 소군의 곁에는 소정이라는 아내가 있고  이요의 곁에는 표가 있다  세월을 거스른 듯 서로의 감정이 변하지 않았음을 확인한 두사람은 자신들의 사랑을 위해 새로운 곳으로 도피를 계획한다  그러나 이요의 애인에게 갑작스런 사고가 일어나고  사랑과 이성 사이에서 갈등하던 이요는 결국 표와 함께 떠나 버리는데 ,drama
9,NULL,NULL,drama
