,title,synopsis,category
0,NULL,NULL,horror
1,휴고,    년 프랑스 파리의 기차역  역사 내 커다란 시계탑을 혼자 관리하며 숨어 살고 있는 열두 살 소년 휴고 아사 버터필드   사고로 아버지 주드 로 를 잃은 휴고에겐 아버지와의 추억이 담긴 고장 난 로봇 인형만이 가진 전부다  아버지의 숨겨진 메시지가 있을 거라 믿으며 망가진 로봇 인형을 고치려는 것을 포기하지 않는 휴고는 어느 날 인형 부품을 훔쳤다는 이유로 장난감 가게 주인 조르주 벤 킹슬리 에게 아버지의 수첩을 뺏기고 만다  조르주 할아버지의 손녀딸 이자벨 클로이 모레츠 의 도움으로 로봇 인형의 설계도가 담긴 아버지의 수첩을 되찾으려는 휴고는 떠돌이 아이들을 강제로 고아원에 보내는 악명 높은 역무원 사챠 바론 코헨 의 눈에 띄게 되고  애타게 찾던 로봇 인형의 마지막 열쇠를 가지고 있던 건 다름아닌 이자벨이라는 것을 알게 되는데   ,horror
2,NULL,NULL,horror
3,스파이 코드명 포춘,전 세계 검은 무기 거래 왕  슈퍼 빌런  그렉  그가 정체를 파악조차 불가능한  핸들 을 거래한다는 첩보 내용이 입수된다  국가 정보국은 전세계를 붕괴시킬 수도 있는 이것이 무엇인지 대혼돈에 빠지게 되고  이 혼돈을 해결할 자는 오직 하나  액션 만랩  수트 핏과 꿀성대까지  모든 것이 완벽한 업계 최고의 스파이  포춘  무비 스타  테크 전문가와 샷건 마스터까지 팀  포춘 을 조합한 후 일생일대의 위험한 임무에 나서게 되는데  전세계가 그를 기다렸다  준비된 스파이  포춘 의 시대가 열린다 ,horror
4,NULL,NULL,horror
5,베리드,이라크에서 근무하는 미국인 트럭 운전사 폴 콘로이 라이언 레이놀즈 분   갑작스런 습격을 받고 눈을 떠보니 그는 어딘가에 묻혀 있다  직감적으로 그곳이 땅 아래 관 속 임을 안 그  그에게 주어진 것이라곤 라이터  칼  그리고 누구의 것인지 알 수 없는 핸드폰뿐이다  과연 그는 탈출할 수 있을 것인가 ,horror
6,NULL,NULL,horror
7,베놈 2: 렛 데어 비 카니지(부가영상 제공), 베놈 과 완벽한 파트너가 된  에디 브록  톰 하디  앞에  클리터스 캐서디  우디 해럴슨 가  카니지 로 등장  앞으로 닥칠 대혼돈의 세상을 예고한다  대혼돈의 시대가 시작되고  악을 악으로 처단할 것인가 ,horror
8,괴기맨숀,공포 웹툰 작가 지우는 아이디어를 찾아 괴기맨숀이라 불리는 허름한 아파트에 도착한다  표정을 알 수 없는 중년의 관리인은 이 아파트에서 일어났던 기묘한 사건들에 대해 이야기보따리를 풀어내고     호     호  지우는 사연을 들을수록 홀리기라도 한 듯 괴기맨숀에 점점 집착하게 되는데      미스터리한 맨숀   개의 에피소드  괴이하고 섬뜩한 현실 공포가 온다 ,horror
9,엔젤 오브 마인, 년 전 사고로 죽은 아이에 대한 그리움으로 일  가족 그리고 자기 자신마저도 돌보지 않고 살아온  리지    어느 날  우연   롤라 를 마주친 뒤 사고로 잃은 자신의 아이라 확신하며  롤라 를 향한 광기 어린 집착을 보인다   그런  리지 로부터  롤라 를 지켜야 하는  롤라 의 엄마  클레어   평탄했던 그녀의 일상은 아이를 지키기 위해 조금씩 균열이 가며 무너지기 시작한다 ,horror
10,47미터 2,물에 잠긴 고대 마야의 수중도시  시발바 를 향해 짜릿한 동굴 다이빙에 나선  미아 와 친구들은 예기치 못한 사고로 미로 같은 동굴 속에 갇혀 헤매던 중 오랜 시간 굶주린 블라인드 샤크와 맞닥뜨리게 된다   산소도  탈출구도 없는 칠흑 같은 어둠 속에 갇  이들은 눈 보다 예민한 제 의 감각으로 좁혀오는 상어떼를 피해 목숨을 건 극한의 숨바꼭질을 시작하는데  ,horror
11,NULL,NULL,horror
12,칼리가리 박사의 밀실,북독일의 시골에서 온 칼리가리 박사는 체저레라고 하는 남자에게 최면술을 걸어 예언자라고 하여  동네를 돌게 한다  그는 몽유병자인 케사르를 넣고 다니면서 사람들에게 죽음을 예언하고  그 예언을 적중시키기 위해 살인을 저지른다  결국 그의 정신병자적인 면모가 밝혀진다 ,horror
13,파라노말 액티비티 : 도쿄나이트,케이티의 묘연한 행방 그 이후   예상을 뒤 엎는 충격의 실체와 마주하라  도쿄의 한적한 단독 주택에 사는   살의 장녀 하루카 아오야마 노리코 는 여행을 갔던 미국에서 교통사고를 당해 두 다리가 복합 골절되어 휠체어를 타고 귀국한다  재수생인   살의 코이치 나카무라 아오이 는 새 비디오 카메라를 들고 그런 누나를 맞이한다   띄고  아버지는 해외 출장이 많아 부재중인 탓에  개월은 걸을 수 없다는 하루카의 간호는 코이치의 차지가 된다  그러던 어느 날  하루카의 방에 놓아둔 휠체어가 아침이 되면 어딘가로 옮겨져 있거나 소금이 흩뿌려져 있는 등 이상한 사건이 일어난다  심상치 않은 예감을 느낀 코이치는 누나를 설득해 비디오 카메라를 하루카의 방에 설치하고 그곳에서 일어나는 일들을 촬영하기로 한다  그러나 하루하루 지날 때마다 코이치의 상상을 초월하는 일들이 벌어지자 하루카는 미국에서 자신이 교통사고를 냈는데 차에 치인 여자가 케이티이며 그녀는 자신의 남자친구 미카를 죽였고 그 후 행방이 묘연하다는 충격적 사실을 동생에게 고백한다  그리고 촬영을 시작한지   일째 되는 밤  이제껏 볼 수 없던 파라노말의 공포가 두 남매를 가차 없이 엄습한다  과연 코이치와 하루카는 이 현상으로부터 무사  도망칠 수 있을까 ,horror
14,콜로니아,스튜어디스  레나 는 산티아고 비행 스케줄 기간 동안 칠레에 있는 연인  다니엘 과 잠깐 동안의 달콤한 휴식을 보내게 된다   하지만 칠레의 자유 정부 모임을 도와 군부 쿠데타에 반대하는 시위에 가담한  다니엘 이 비밀 경찰들에 의해 끌려가게 되고   레나 는 그가  콜로니아 로 불리는 사교 단체에 있다는 정보를 입수하게 된다   레나 는 사랑하는 연인  다니엘 을 구하기 위해 독일인  폴 쉐퍼 가 신처럼 군림하고  한 번 들어가면 아무도 돌아오지 않는 그곳   콜로니아 에 직접 찾아가 목숨을 건 여정을 하면서 충격적인 사실을 알게 되는데 ,horror
15,셜록 홈즈,          세기의 명탐정  범죄는 흔하다  그러나 논리는 흔치 않다  셜록 홈즈 로버트 다우니 주니어   천재적인 추리 능력과 주먹의  까지 갖추고 친구 왓슨 박사 주드 로 와 함께 치밀하게 얽  미스터리 속에서 진실을 찾아내는 명탐정  그에게 이제껏 경험하지 못했던 최대의 위협이자 지금껏 그토록 갈구했던 진정한 모험이 몰려오고 있었다            예고된 살인  홈즈  당신과 나는 자연 법칙을 뒤집어 놓을 여정에 올랐소 다섯 명의 여인들이 종교 의식의 제물로 끔찍하게 살해되는 사건이 잇따라 발생하고  홈즈와 왓슨은 간발의 차이로 마지막 희생자가 될뻔한 여인을 구한다  범인은 비밀 종교집단 소속의 블랙우드 마크 스트롱   붙잡  블랙우드는 사형 집행일이 다가올수록 강력한 어둠의  을 발휘하고  자신의 죽음은 계획의 일부에 지나지 않는다며 홈즈에게 경고한다            죽은 자의 부활  증거 없는 이론은 위험하네  사실을 이론에 맞추려 들테니  블랙우드의 경고는 현실로 나타나고  죽었던 그의 부활은 도시 전체를 공포 속에 몰아넣는다  그러나 이것은 홈즈에게는 게임의 시작일 뿐  블랙우드의 치명적인 음모를 저지하기 위해 홈즈와 왓슨은 고대의 신비한 주술과 현대의 경이로운 신기술이 혼재한 세계로 뛰어든다            진정한 목적  가장 사소한 단서가 가장 중요한 증거가 되는 법이지 그러나 홈즈가 해결해야 할 것은 사건만이 아니었다  그의 앞에 헤어진 연인 아이린 레이철 맥아담스 이 등장해 적인지 아닌지 모호한 행동으로 그를 더욱 혼란에 빠뜨린다  한편  최강의 콤비 플레이로 사건을 파헤치던 홈즈와 왓슨은 단서들이 공통의 연결고리로 어떤 징후를 나타낸다는 것을 발견하고  이것이 세상을 파멸시킬 거대한 음모였음을 알게 되는데  정확한 논리를 무기로  일격의 주먹을 방어막으로  세상을 구할 홈즈의 추리가 시작된다 ,horror
16,부기맨, 세이디 와 어린 동생  소여 는 갑작스러운 엄마의 사고로 깊은 슬픔에 빠진다  그러던 어느날  낯선 남자가 집에 찾아온 뒤부터 어둠 속에서 알 수 없는 존재가 나타나기 시작하는데  공포의 문이 열린다 ,horror
17,NULL,NULL,horror
18,NULL,NULL,horror
19,북 오브 헨리,헨리는 미래에 닥칠 끔찍한 상황들을 바로잡을 계획을 자신의 책에 써놓는다  어느 날 수잔과 피터는 헨리가 책에서 아버지로부터 학대당하는 이웃집 여자아이를 구할 방법을 써 놓은 것을 발견한 후  그 방법을 실행해나가는 이야기,horror
20,스텝포드 와이프,미국 거대 방송사의    인 조안나 에버트 니콜 키드먼 는 기획하는 프로그램마다 엄청난 센세이션을 불러 일으키며 승승장구 하여 모든 여성들로부터 부러움과 선망의 대상이 된다  그러던 어느 날  너무도 자극적인 방송으로 인해 사회적 파장을 일으키는 사건이 발생  모든 책임을 지고 하루아침에 해고당하게 된다  상실감에 빠진 그녀를 위해 남편 월터 메튜 브로데릭 는 살기 좋은 마을 스텝포드에서 새로운 생활을 시작할 것을 제안하고 그곳으로 이사하게 된다  스텝포드에 도착한 조안나 가족  그들을 기다리고 있는 것은 로봇 강아지부터 말하는 냉장고까지 모든 것을 갖춘 화려한 저택과 평온하고 안락한 마을 분위기 그리고 너무도 친절한 마을 사람들이다  스튜어디스를 능가하는 한결같은 미소  바비 인형을 연상케 하는 화려한 옷차림 그리고 남편에겐 한결같이 고분고분한 현모양처의 모습까지    먼지 한 톨 없는 집안 청소에 심지어 남편의 캐디 역할까지 능숙하게 소화해내는 이들 틈에서 조안나는 어리둥절하기만 하다  어느 한 곳 흠잡을 데 없이 완벽한 그녀들  하지만 무언가 수상하다   분명 살기 좋고 평온한 마을 스텝포드에서 감춰진 뭔가가 있는데   ,horror
21,NULL,NULL,horror
22,본 아이덴티티,이탈리아 어부들이 지중해 한 가운데에서 등에 두 발의 총상을 입은 채 표류하고 있는 한 남자               맷 데이먼 분 를 구하게 된다  그는 의식을 찾게 되지만 기억 상실증에 걸려 자신이 누구인지 조차 모른다  그가 누구인지 알 수 있는 단서는 등에 입은 총상과 살 속에 숨겨져 있던 스위스 은행의 계좌번호 뿐    자신의 존재를 찾아 스위스로 향한 그는 은행에 보관되어 있는 자신의 소지품을 살펴본다  그는 자신이 파리에서  제이슨 본 이라는 이름으로 살았음을 알게 되지만  여러 개의 가명으로 만들어진 여권을 보고 자신의 실명과 국적 또는 정체성을 잃게 된다   케인 이라는 이름으로 만들어진 미국 여권을 가지고 미대사관으로 향하지만 경찰들과 심지어 군인들까지 그를 추적하고 있다는 사실을 알게 된 제이슨 본  그들의 추격을 피해 도망가다 대사관에서 우연  만나게 된 마리               프랭카 포텐테 분 라는 여성에게  만 달러라는 거금을 주고 파리까지 차를 얻어 타게 된다  어떤 거대한 조직이 자신을 살해할 목적으로 추적하고 있다는 사실을 알게 된 제이슨 본은 마리를 보호하는 한편  자신이 어떠한 인물이었는지를 아는 것이 이 위험으로부터 벗어나는 길이라 믿게 된다  하지만 그는 자신이 어떠한 사람이었는지 과거를 찾아가면 찾아갈 수록 수수께끼 같은 미궁 속으로 빠져드는 음모와 가공할 위협이 그를 기다리고 있는 것을 알게 되는데 ,horror
