,title,text,category
0,너의 이름은.,꿈 속에서 몸이 뒤바뀐 도시 소년  타키 와 시골 소녀  미츠하   만난 적 없는 두 사람이 만들어가는 기적과 사랑에 관한 이야기  너의 이름은    잊고 싶지 않은 사람 잊으면 안 되는 사람 너의 이름은 ,melo
1,NULL,NULL,melo
2,NULL,NULL,melo
3,NULL,NULL,melo
4,NULL,NULL,melo
5,티파니에서 아침을,소매가 치렁한 이브닝 드레스  얼굴을 반이나 가린 검은 안경  그녀는 티파니 보석상을 활보하며 흥미로운 눈빛으로 보석을 바라본다  한 손에 빵을 들고  우아한 몸짓으로 새벽거리를 리드미컬하게 걸어가는 그녀의 이름은 홀리                  오드리 헵번 분   사실 그녀는 택사스 농부의 아내로 어떻게 그녀가 맨하탄에 정착했는지 알 수 없다  가난한 작가인 폴              죠지 페파드 분 은 홀리의 이웃으로 같은 아파트에 살고 있다  그는 부자인 여인의 후원을 받으며 곤욕스러운 애인 노릇을 하던 중  귀엽고 매력적인 홀리에게 점차 호감을 갖게 된다  마음에도 없는 중년 남자가 귀찮게 군다며 한밤 중에 폴의 침대 속으로 들어가 아무렇지도 않게 그의 팔에 안겨 잠드는 그녀의 모습에서  길잃은 고양이를 귀여워하고 무료함을 이기지 못해 아파트 비상 계단에서 기타를 치며             를 흥얼거리는 모습에서  폴은 홀리를 더욱 사랑하게 된다 ,melo
6,NULL,NULL,melo
7,"오늘 밤, 세계에서 이 사랑이 사라진다 해도", 카미야 토루에 대해 잊지 말 것   자고 일어나면 전날의 기억을 잃는  선행성 기억상실증 에 걸린 소녀  마오리    내일의 마오리도 내가 즐겁게 해줄 거야   누구에게도 기억되지 않는 무색무취의 평범한 소년  토루   매일 밤 사랑이 사라지는 세계  그럼에도 불구하고  다음 날 서로를 향한 애틋한 고백을 반복하는 두 소년  소녀의 가장 슬픈 청춘담,melo
8,NULL,NULL,melo
9,NULL,NULL,melo
10,"오늘 밤, 세계에서 이 사랑이 사라진다 해도", 카미야 토루에 대해 잊지 말 것   자고 일어나면 전날의 기억을 잃는  선행성 기억상실증 에 걸린 소녀  마오리    내일의 마오리도 내가 즐겁게 해줄 거야   누구에게도 기억되지 않는 무색무취의 평범한 소년  토루   매일 밤 사랑이 사라지는 세계  그럼에도 불구하고  다음 날 서로를 향한 애틋한 고백을 반복하는 두 소년  소녀의 가장 슬픈 청춘담,melo
11,타이타닉,    년대  과학자들은 첨단장비를 동원하여 침몰한 타이타닉 호 안에 있을 보물을 찾기 위해 탐사를 벌인다  그러던 중 이상한 궤짝 하나를 발견  기대에 부풀어 열어보지만 한 여인의 나체화 그림만을 발견하고 크게 실망한다  하지만 그림 속 여인의 목에는 그토록 탐사팀이 찾던 어마어마하게 큰 보석 목걸이가 걸려있었다    에서 이 기사를 접한 어느 늙은 할머니가 그림 속의 여자가 바로 자신이라며 직접 탐사선으로 오게 된다  그림 속 보석 목걸이에 관심을 가진 탐사팀에게 할머니의 이야기가 시작된다     여년 전    세 소녀 로즈                      케이트 윈슬렛 분 는  사교적인 어머니                      프랜시스 피셔 분 의 강요로 귀족 집안의 망나니 아들 빌리 제인 분 과 결혼을 앞두고 타이타닉에 승선한다  한편  배가 출발하기 바로 전 도박으로  등석 자리표를 얻은 청년 잭              레오나르도 디카프리오 분 도 친구와 함께  등석에 승선한다  엄격한 규율과 예절을 요구하는 상류 사회에 숨막혀 하던 로즈는 결혼을 비관  배 맨 끝에서 자살하려고 한다  하지만 우연  이를 본 잭이 로즈를 극적으로 구출하게 되어 두 사람의 인연이 시작된다  이 일로 잭은 로즈의 초대를 받아 상류층 사회의 저녁 식사에 초대된다  하지만 잭은 가식적인 귀족들의 어색한 식사를 재치로 넘기고  로즈를  등석의 파티장에 데려가 마음껏 춤추고 즐거운 시간을 보낸다  그림을 그리는 잭의 자유로운 영혼에 그만 사랑에 빠진 로즈  잭은 로즈의 제안으로 결혼 예물로 받을 목걸이만을 건  나체화를 그려주게 되고  두 사람은 깊은 사이로 발전한다   하지만 로즈의 약혼자인 막대한 유산의 상속자이자 칼 헉슬리              빌리 제인 분 이 두 사람의 사랑을 질투하여 잭을 보석 목걸이를 훔쳤다고 누명을 씌어 잭을 감금한다  어느덧 운명의 시간  빙산에 충돌한 타이타닉호는 몇시간 후 침몰의 시간을 맞이한다   등석 사람들은 대부분 구명보트에 오르지만   등석의 승객들은 혼란을 막는다는 구실로 출구마저 통제당한다  감금된 잭의 방에 물이 차 오르고  로즈는 구명보트의 승선을 앞두고 잭을 구하러 달려간다  결국 아슬아슬하게 잭은 구출되지만 배는 가라앉기 시작한다  아수라장 속에서 끝까지 키를 잡고 배와 함께 죽음을 맞이하는 선장과  그대로 침대 속에서 죽음을 맞이하는 어느 노부부  또 배의 밴드 연주자들 또한 끝까지 연주를 계속한다  시간이 흘러 물이 먼저 배 앞부분에 차서 배가 기울어지면서 뒷부분이 하늘로 치켜올라가게 된다  이어서 마침내 타이타닉호는 두동강이 나면서 뒷부분이 바닷속으로 침몰한다 ,melo
12,윤희에게,평범한 일상을 살아가던  윤희  앞으로 도착한 한 통의 편지  편지를 몰래 읽어본 딸  새봄 은 편지의 내용을 숨긴 채 발신인이 살고 있는 곳으로 여행을 제안하고   윤희 는 비밀스러웠던 첫사랑의 기억으로 가슴이 뛴다   새봄 과 함께 여행을 떠난  윤희 는 끝없이 눈이 내리는 그곳에서 첫사랑을 만날지도 모른다는 기대를 품는데 ,melo
13,파이란,어디에서도 인정받지 못하는 삼류 건달  강재 는 막장 인생의 마지막 찬스로 평생 꿈인 배 한 척을 살 돈을 받고 보스 대신 감옥에 가기로 한다  자수를 준비하던 그에게 뜬금없이 아내의 부고 소식이 전해지는데 그녀의 이름은  파이란   돈 몇 푼 받고 위장 결혼을 해준 중국 여인이었다  얼굴도 기억나지 않는 그녀의 마지막을 배웅하러 가는 길  너무 늦게 전해진  파이란 의 편지에는  강재 에 대한 고마움과 그리움  그리고 사랑이 적혀있다   모두 친절하지만 강재 씨가 가장 친절합니다  잊어버리지 않도록 보고 있는 사이에 강재 씨를 좋아하게 됐습니다  당신의 아내로 죽는다는 것 괜찮습니까   세상은 날 삼류라 하고 이 여자는 날 사랑이라 한다,melo
14,NULL,NULL,melo
15,10일 안에 남자 친구에게 차이는 법,            잡지의 칼럼니스트인 앤디 앤더슨  케이트 허드슨 분 은 기사를 위해 특별한 임무를 해내야 한다  여러가지 데이트 중의 실수로 남자에게 버림받는 여자들에 대한 모든 것들을 직접 경험하여 열흘 안에 기사로 만들어야 하는 것이다  그녀의 임무는 다름아닌    일 안에 남자친구에게 차이는 법 에 대한 칼럼을 쓰는 것이다  그녀가 할 일은 멋진 남자를 찾아  그녀와 사랑에 빠지게 한 후  갖은 방법으로 데이트를 망쳐 남자에게 차여야만 하는 것 이다  앤디의 타겟으로는 불행하게도 잘나가는 광고 회사의 직원인 벤자민 벤 베리 매튜 맥커너  가 선택된다  그러나 그는 마침 다이아몬드 회사의 광고 피치를 따내기 위하여 광고주가 지목 하는 한 여성을   일 안에 자신을 사랑 하도록 만들어야만 하는 상황이었다  그리고 그 지목 받은 여성은 다름 아닌 칼럼니스트 앤디 앤더슨이다  이제 이 둘은 각자가 맡은바 임무를 해내려는 그들의 첫 만남에서부터 엉뚱한 데이트가 이어지기 시작한다    일 안에 만난 남자에게 버림 받아야 하는 앤디는 모든 남자들이 싫어하는 여자의 모습들을 벤자민에게 보여주며 차이기를 바라고  벤자민은 반대로 앤디가 자신을 사랑 하도록 만들게 하기 위하여 그녀의 모든 행동을 참고 견디며 열흘을 버틴다  그러나 인생은 뜻대로 되지 않는 법  벤자민의 가족들을 만나 즐거운 시간을 보낸 앤디는 그에게 진실한 사랑의 감정을 조금씩 느끼게 되고 벤자민 또한 광고를 따내기 위한 내기이기 보다 진심으로 그녀와의 데이트를 즐기며 그녀를 조금씩 사랑 하게 된다  그러나 이 둘은 서로에 대한 진심을 알기도 전에 그들의 서로 다른 속내를 알아버리게 되고   ,melo
