,title,synopsis,category
0,찬실이는 복도 많지,집도 없고  남자도 없고  갑자기 일마저 똑 끊겨버린 영화 프로듀서  찬실   현생은 망했다 싶지만  친한 배우  소피 네 가사도우미로 취직해 살길을 도모한다  그런데  소피 의 불어 선생님  영 이 누나 마음을 설레게 하더니 장국영이라 우기는 비밀스런 남자까지 등장  새로 이사간 집주인 할머니도 정이 넘쳐 흐른다  평생 일복만 터져왔는데  영화를 그만두니 전에 없던  복 도 들어오는 걸까 ,melo
1,우리 사이의 거대한 산,비행기가 눈 덮인 깊은 산 속으로 추락하는 사고가 난다  구조대가 올 수 없다는 걸 직감한 유일한 생존자 벤과 알렉스는 살아남기 위한 험난한 여정을 시작한다   파라다이스 나우 와  오마르 로 잘 알려진 하니 아부 아사드 감독의 신작 스릴러로 주연은 케이트 윈슬렛이 맡았다    제  회 부산국제영화제 ,melo
2,NULL,NULL,melo
3,어린 신부,세상 여자가 모두 자기 여자인양 온갖 작업을 펼치던 잘 나가던 대학생 상민  수다떨기 좋아하고 얼짱 보면 가슴 설레는 앙큼상큼한 여고생 보은 둘은 보은 할아버지에게서 날벼락 같은 명령을 받게 된다  둘이 결혼해야 한다는 것   평소 둘이 결혼하는 게 소원이었던 할아버지의 병세가 악화되자   세 상민과   세 보은은 어쩔수 없이 결국 결혼을 하고야 만다  결혼을 하긴 했지만 첫 키스도 못해본   살 어린 신부를 어떻게 할 수도 없는 상민  게다가 유부남 도장까지 찍혔으니 작업 길도 꽉꽉 막혀있다  애타고 아쉬운 마음이야 하늘을 찌르지만 결혼생활에 충실하고  보은이 뒷바라지도 해주려고 마음먹은 상민  그런데 이게 웬일  보은이는 신혼 여행을 떠나는 공항에서 도망간다  제주도에서 나홀로 외로운 밤을 보내는 상민의 눈에는 신혼 부부들이 굉장  거슬리는데  같은 시간 보은은 평소 마음에 있던 야구부 주장 정우와 꿈에 그리던 데이트를 하게 된다  뜻하지 않은 결혼을 한 이들에게 아슬아슬한 하루하루가 끊임없이 계속되는데  결혼 사실을 들키면 안 되는 이들의 위험한 부부관계는 상민이 보은의 학교에 교생 실습을 나가면서 더욱 더 첨예한 위기가 계속된다  수업 시간에 보은의 팬티로 땀을 닦는 상민  불시에 상민의 방으로 쳐들어오는 스토커 같은 김샘  게다가 보은은 한 술 더 떠서 정우와의 위험한 데이트를 계속 하는데 이들의 결혼 생활 과연 오래갈 수 있을까 ,melo
4,NULL,NULL,melo
5,러브 앳, 어느 날  눈 떠보니 평행세계  아내  올리비아 와 다투고 만취 상태로 잠에서 깨어난  라파엘 은 평소와 다름을 느낀다  같은 듯 다른 세상  베스트셀러 스타 작가로서의 삶은 간데없고 중학교 선생님이라고  베프  펠릭스 는 탁구광이 되어 있고 결정적으로   아내  올리비아 는 자신을 아예 모른 채 유명 피아니스트로 살고 있다    이 사랑을 기억하니  평행세계로 오게 된 원인이 운명적 사랑이었던  올리비아 와의 관계가 소원해졌기 때문이라고 생각한  라파엘 은 다시 그녀의 사랑을 얻으면 현실세계로 돌아갈 수 있다고 믿고 다가가지만 그녀 곁엔 모든 게 완벽한  마크 가 버티고 있다  이 세계에서 유일하게 자신을 믿어주는 친구  펠릭스 의 도움으로 그녀의 마음을 공략할 기회를 얻게 되는데   과연  그들은 다시 사랑할 수 있을까 ,melo
6,NULL,NULL,melo
7,옐라,옐라는 실패한 결혼생활과 부서진 꿈을 뒤로한 채 새로운 삶을 찾아 고향을 떠나기로 결심한다  무엇도 그녀를 막을 수 없다  심지어 정신이상자인 전 남편이 그녀가 떠나던 날 교통 사고를 일으켜도  그녀의 앞을 막지는 못한다  젊은 이사 필립에게 비서직을 제안 받은 후 옐라의 인생은 바뀌기 시작한다  투자 사업 쪽에는 전혀 경험이 없지만  아름다운 외모와 도도함을 무기로 협상에 능력을 발휘하는 옐라  이사 필립과의 애정 관계도 희망적이다  하지만 허공에서 이상한 소리가 들리고 기묘한 사건들이 옐라를 괴롭 다  그녀의 새 인생은 현실이라고 하기에는 너무 완벽했던 걸까  베를린영화제에서 여우주연상을 수상한 배우 니나 호스의 열연이 빛나는 작품 ,melo
8,NULL,NULL,melo
9,더 차일드,어린 커플 브뤼노와 소냐 사이에 아이가 태어나면서 인생이 변화하는 이야기    살의 브뤼노와   살의 소냐  그들은 소냐의 연금과 브뤼노와 그 일당들이 저지르는 도둑질로 하루 하루를 연명해나가고 있다  무책임한 브뤼노는 소냐와의 사이에서 아이가 태어나자 아이를 팔아치운다  이에 쇼크를 받은 소냐는 회복할 수 없는 상태에 빠진다  그제서야 자신의 잘못을 뉘우친 브뤼노는 아기를 되찾아 오지만 폭력배들의 협박에 시달리게 된다  소냐의 마음은 이미 얼어버리고 브뤼노는 폭력배들에게 줄 돈을 마련하기 위해 날치기를 하다가 이번에는 경찰에 걸리고 마는데    철없는   대 남녀가 원하지 않았던 아이를 갖게 되면서 부모가 돼 가는 이야기를 그린 작품  칸느 영화제 황금종려상 수상  벨기에 작가주의를 대표하는 다르덴 형제는 그들의 유명한 전작  약속   로제타   아들 에서 거칠고 열악한 상황에서 살아남기 위해 노동을 하는 캐릭터들에게 특별한 관심을 보여왔으며 이 작품 역시 예외가 아니다  이 영화에서는   살의 브뤼노가 틀에 박  삶에서 벗어나기 위해 고군분투한다  인간의 복합적인 감정 속에서 윤리의 문제를 언급하고 있는 이 작품은 다르덴 형제 특유의 관찰적 시선으로 더욱 더 빛이 난다  또한 다르덴 형제의 오랜 조력자인 알랭 마르코앤은 걸러지지 않은 자연광과 얕은 심도의 렌즈를 이용  핸드헬드로 훌륭  촬영해서 기술적인 성과도 함께 보여준다 ,melo
