,title,synopsis,category
0,NULL,NULL,sf_fantasy
1,판의 미로 - 오필리아와 세 개의 열쇠,아주 먼 옛날  인간들은 모르던 지하왕국  행복과 평화로 가득 찬 환상의 세계에 공주가 있었다  햇빛과 푸른 하늘이 그리웠던 공주는 인간 세계로의 문을 열고 만다  하지만 너무나 눈부신 햇살에 공주는 기억을 잃은 채로 죽어갔다  꿈 많은 소녀  오필리아는 만삭인 엄마와 함께 군인인 새아버지의 부대 저택으로 이사를 간다  하지만 자신을 못 마땅해하는 냉혹한 새아버지에게 두려움을 느끼는데다  신비한 숲으로 둘러싸인 저택의 이상한 분위기에 잠을 못 이루던 오필리아에게 요정이 나타난다  신비로운 모습에 이끌린 오필리아는 요정을 따라 미로로 들어가게 되고 거기서 판이라는 기괴한 요정을 만난다  판은 오필리아에게 그녀가 지하왕국의 공주였으나 인간세계로 나왔다 돌아가지 못하고 인간으로 살아가고 있음을 알려주고 다시 공주로 돌아가기 위한 방법으로 세 가지 미션을 제안한다  오필리아에게 판이 알려준 세 가지 미션은 용기와 인내와 희생에 관한 불가능한 모험들  오필리아는 백지에 미션의  트가 그려지는 마법 동화책과 어디든 그리는 대로 문이 생기는 마법 분필  그리고 충실한 안내자인 요정들의 도움을 받아 미션을 해결해 나간다  과연 오필리아는 행복과 평화만이 존재하는 지하왕국으로 돌아갈 수 있을까 ,sf_fantasy
2,페노메논,조지 말리는 하몬이라는 작은 마을에 사는 평범한 청년이다 다정다감한 성격으로 주민 모두의 친구이기도 하다    회 생일을 맞은 날 밤 조지는 번개를 맞고 정신을 잃는다  그 후 정신을 차린 조지는 갑자기 천재가 되어버린다  엄청난 암기력과 계산력  더구나 물체를 움직이는 초능력까지  그러나 이러한 일로 마을 사람들과는 멀어지게 되고 그는 다시 번개를 맞고 정신을 잃는다  병원을 찾은 그는 뇌검사를 받게 되고 그의 머리 속에 종양이 자라고 있다는 것을 알게 된다 ,sf_fantasy
3,스파이 키드,적국의 스파이 잉그릿 칼라 구지노 분 과 사랑에 빠져 결국 그녀와 결혼을 하게 된     최고의 특급 비밀요원 그레고리 코테즈 안토니오 반데라스 분   그는 이제 스파이 생활을 그만두고 새로운 삶을 살아가고 있다  잉그릿과의 행복한 결혼 생활 속에 귀엽지만 엽기 발랄한 딸 카르멘과 겁 많은 말썽꾸러기 아들 주니를 돌보는 그레고리는 가정의 평화를 지키는 것이 세계의 평화를 지키는 것보다 어렵다는 것을 항상 느끼고 있다  그러던 어느 날  과거 그레고리가 몸담고있던    조직의 비밀요원들이 하나 둘씩 실종되고 급기야 옛 동료인 데블린 조지 클루니 분 은 최고의 요원이었던 그레고리에게 그 사건을 부탁한다  옛 동료들과의 우정을 생각한 그레고리는 다시 스파이 임무로 복귀를 하고 그의 아내 잉그릿 또한 그의 파트너로 행동하기로 한다  자신의 자녀들에겐 비밀로 하고  년만에 새로운 임무를 맡게된 그레고리와 잉그릿은 오랜 동안 스파이 세계를 떠나 있었기에 본격적으로 일을 시작하기도 전에 그만 적들에게 잡 게 된다  결국 자신이 잡 게 된 것이 모두 거대한 적의 음모인 것을 알게된 그레고리는 스파이 활동을 그만두고 혼자 연구해 완성한 인공두뇌를 노리는 적으로부터 집에 두고 온 아이들을 걱정하지만 이미 온몸이 묶여 꼼짝도 할 수 없는 상태가 되어버렸다  영문도 모른 채 순식간에 고아가 된 카르멘과 주니는 자신들을 보호하기 위해 삼촌으로 가장 잠입한    요원 펠릭스에게 사건의 전말을 듣게 되지만 정체 모를 적들이 집을 습격하여 펠릭스와 헤어지면서 우여곡절 사건을 겪게 된다  결국 부모님을 구할 사람은 자신들 뿐이라는 생각을 하게 된 카르멘과 주니는 아빠의 진짜 형인 매킷을 만나게 되고 첨단 스파이 무기를 악당이나 첩보원들에게 밀거래하던 매킷은 고심 끝에 카르멘과 주니를 도와주기로 한다  매킷으로부터 황당하고도 기발한 비밀무기들을 제공받은 카르멘과 주니는 드디어 부모님을 찾아 쫓고 쫓기는 대모험을 시작하는데  무시무시한 사건들이 이들을 기다리고 있었다 ,sf_fantasy
4,모모,요정 모모는 마을 사람들에게 없어서는 안되는 존재  그러나 마을 사람들은 회색 복장을 한 시간 도둑들의 꾐에 빠져 시간을 아끼려 버둥대며  피곤하고 가증스러운 모습으로 바뀌게 된다  이에 모모는 시간의 성서를 가지고 도둑과 필사적으로 싸우게 된다  한손에는 한 떨기 시간의 꽃을 들고  다른 한 손으로는 신비의 거북이 카시오데이아를 가슴에 안은 모모는 이웃들의 도둑맞은 시간을 되찾으려 한다  원형극장에서 일하는 청소부 뱃포에게 발견된 모모는 출생을 알 수 없는 데다 어디서 온지 아무도 모른다  모모는 타고난 천진난만함을 통해 주변사람들과 융화를 잘해 마을 사람들의 투터운 신뢰와 관심을 받아가며 사람들이 지어 준 집에서 살게 된다  그러던 어느 날 마을에 시간을 절약하며 저금을 하면 생명이 배로 된다는 속임수를 쓰는 시간 도둑이 출현하게 되고 마을의 평화는 깨지기 시작한다  이에 호라박사와 모모는  을 합쳐 마을의 평화를 되찾기 위한 노력을 하게 되는데                         ,sf_fantasy
5,NULL,NULL,sf_fantasy
6,코어,미국 정부에선 인공지진으로 적을 공격하는 비밀 병기 데스티니                를 개발 한다  그로 인해 지구 핵  코어      의 회전이 멈추면서 지구엔 갖가지 기상 이변이 발생  재난이 속출한다      측은 대학에서 지구 물리학을 가르치는 조슈아 키스박사  아론 에크하트 분 에게 현 상황에 대한 진단을 부탁하고 박사는 이런 상태라면  년 안에 지구가 전멸할 것이라고 말한다  인류가 살 수 있는 방법은 화성 크기의 지구 핵을 다시 회전 시키는 방법 밖에 없다는 결론 끝에 미 정부와    측은  명의 전문가로 구성된 팀을 만들어 이들을 지구의 코어로 내려 보내는 프로젝트를 추진한다  그  명은 조슈아를 비롯  지구 물리학의 거두 콘라드 짐스키 박사 스탠리 투치 분  와 시스템 전문가인 서지 레베크 박사 체키 카르요 분   엄청난 열과 압력에 견딜 탐사정  버질 호를 만들 브래즐턴 박사  델로이 린도 분   그리고 우주 비행사 이번슨  브루스 그린우드 분  과 차일스 소령   러리 스웽크 분  이 었다  이 프로젝트의 핵심은  코어에 들어가 핵 폭탄을 터뜨려서 지구 핵을 다시 회전 시킨 뒤  그로 인해 발생될 거대한 충격파를 피해 지상으로 다시 귀환하는 것이었다  그러나 몇 천도의 지열과 엄청난 압력 속을 뚫고 코어로 들어가는 여정엔 뜻 하지 않은 수 많은 변수가 이들을 기다라고 있었다  그 와중에 대원들은 차례로 죽어가고  짐스키는 지상 관제소에 프로젝트를 포기하겠으니  데스티니  프로그램을 가동하라는 최후통첩을 한다   데스티니 로 인해 코어의 회전이 멈췄으니   데스티니 로 다시 회전을 일으킬 수 있다는 이유  지상에선  데스티니 를 발사할 준비에 들어가지만   버질 호의 남은 대원들은 이번 임무를 끝까지 이행 시키기로 결심한다  지상의 해커인  렛 은 대원들의 임무수행을 돕기 위해  데스티니  프로젝트를 해킹  실패로 끝나게 만든다   명 중 조슈아와 챠일스  짐스키등  명의 대원들만 남은 가운데 결국 짐스키도 이들의 작전을 도와 끝까지 임무를 완수키로 한다  이들에게 남은 마지막 방법은 여섯개의 작은 칸들로 이뤄진 버질호의 각 칸에 핵 폭탄을 하나씩 싣고 코어에 순서대로 하나씩 떨어뜨려 연쇄 폭발을 일으킨다는 것이었다  핵을 하나씩 터뜨리는 와중에 짐 스키마저 죽고 조슈아와 차일스만 결국 남게 되고 마지막 한 개 남은 핵 폭탄으로는 코어를 회전시키기에 역부족이라는 사실을 이들은 깨닫게 되는데   ,sf_fantasy
7,원피스 : 에피소드 오브 루피 ~핸드 아일랜드의 모험~,자유와 신념  그리고 꿈을 위한 밀짚모자 일당의 결전   신세계로 떠난 밀짚모자 일당은 대포를 피하려다 어떤 섬에 거꾸로 처박 다   그곳은 바로 장인들의 섬  핸드 아일랜드    루피는 그 섬에서 밀랍장인 디에고를 만나고 밀랍으로 만들어진 샹크스  에이스와 재회한다   루피는 추억을 떠올리게 한 보답으로 해군에 있는 디에고의 아들에게 인형을 전해주기로 한다   하지만 이곳 해군 기지 책임자인  비릿치 준장 은 욕심 많고 악독한 인물로 마을 사람들을 납치한 것은 물론 써니호에 대포를 쏜 것도 이 자였다   루피는 비릿치 준장이 지배하는 해군기지 정문으로 당당  다가가는데 ,sf_fantasy
8,그린 랜턴: 반지의 선택,머나먼 은하계에는 무한파워를 발휘하는 반지 파워링의  으로 지구를 포함한 총     개 섹터로 구분된 행성들을 수호하는 그린랜턴 군단이 존재하고 있었다  그러나 우주의 빛이 사라지고 강력해진 악의 기운으로 최악의 위기가 다가오자  그린랜턴의 수장은 운명적으로 지구에 불시착해 그의 파워링이 선택하는 대로 할 조던을 후계자로 맞는다  그린랜턴의 집결지인 오아 행성으로 불려온 할 조던은 훈련을 통해 인간으로서 최초이자 또한 최강의 군단으로 거듭나 섹터     의 지구를 담당하게 된다  그 사이  모든 생명체들을 파괴시킬  가장 어두운 밤 이 오리라는 예언이 실현되면서 새롭게 탄생한 악의 존재들 역시 점점 파워를 키워가는데    가장 밝은 낮에도  가장 어두운 밤에도  나의 눈을 벗어날 악은 절대 없다  모든 악의 추종자들이여  나의  을 두려워하라  그린랜턴의 빛을 ,sf_fantasy
9,괴물들이 사는 나라,   ,sf_fantasy
